Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.156                          str_m2_o10_o16_pcu_s_ID_63                          792               95.3800,79.3000,102.6800    22.5790,26.0350,26.8260      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.157                          str_m2_o10_o16_pcu_s_ID_64                          1206              96.8000,77.2700,103.2100    22.4600,26.4060,26.9070      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.158                          str_m2_o10_o16_pcu_s_ID_65                          1026              93.9600,78.5700,103.1400    22.4350,26.1220,26.6220      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.159                          str_m2_o10_o16_pcu_s_ID_66                          864               93.7900,77.3700,103.1700    22.3150,26.0590,26.7610      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.16                           str_m2_o10_o16_pcu_s_ID_67                          792               94.0300,77.3300,103.1300    22.2890,26.0830,26.8170      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.160                          str_m2_o10_o16_pcu_s_ID_68                          1116              95.4400,79.9800,101.8300    22.5490,26.2960,26.6240      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.161                          str_m2_o10_o16_pcu_s_ID_69                          936               93.9000,78.8200,102.9600    22.3420,26.0640,26.7320      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.162                          str_m2_o10_o16_pcu_s_ID_70                          1008              94.5200,78.7000,102.6400    22.2940,26.0340,26.9600      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.163                          str_m2_o10_o16_pcu_s_ID_71                          846               94.6800,77.6500,103.0100    22.3660,26.2970,26.7900      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.164                          str_m2_o10_o16_pcu_s_ID_72                          864               94.7300,78.5600,103.3200    22.4530,26.1800,26.8460      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.165                          str_m2_o10_o16_pcu_s_ID_73                          936               94.0200,77.3600,103.0100    22.2690,26.1290,26.7770      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.166                          str_m2_o10_o16_pcu_s_ID_74                          1008              94.5300,77.5600,103.4200    22.4390,26.0430,26.7100      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.167                          str_m2_o10_o16_pcu_s_ID_75                          828               94.0200,77.2500,103.1500    22.2800,26.0830,26.8130      1,1,1         C,H,N,Cu,O          
